ID,Street name,lien,longueur (m),osm_wid,osm_nidx,lon,lat,len
925,Place d'Acadie,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView925.html""; ""925"")",100.08,24423454,"[285880359, 294719541, 282724623, 294719499, 294719502, 294719504, 246691293, 294719498, 294719496, 294719494, 294719492, 294719486, 294719489, 294719487, 294719484, 294719481, 294719480, 294719478, 294719476, 246691294, 294719474, 294719471, 294719469, 246691295, 294719538, 285880358]","[3.890751, 3.890726, 3.890677, 3.8906989999999997, 3.890677, 3.890707, 3.890637, 3.89066, 3.89063, 3.890625, 3.890634, 3.890615, 3.890597, 3.890546, 3.890526, 3.890508, 3.890514, 3.8905019999999997, 3.890476, 3.890493, 3.890404, 3.890429, 3.890397, 3.890413, 3.8903600000000003, 3.890335]","[43.606383, 43.606418, 43.606421, 43.60646, 43.606504, 43.606514, 43.606648, 43.606657, 43.606669, 43.606685, 43.606700000000004, 43.606697, 43.606695, 43.606696, 43.606699, 43.606704, 43.606688, 43.606672, 43.606667, 43.606659, 43.606536, 43.606527, 43.606482, 43.606442, 43.606445, 43.606409]","[4.33, 3.96, 4.69, 5.14, 2.64, 15.93, 2.11, 2.69, 1.82, 1.9100000000000001, 1.6099999999999999, 1.42, 4.11, 1.65, 1.5899999999999999, 1.85, 2.05, 2.17, 1.65, 15.45, 2.29, 5.5600000000000005, 4.65, 4.26, 4.55]"
926,Place d'Acadie,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView926.html""; ""926"")",37.26,24423454,"[285880358, 246691276, 294719513, 294719516, 265388186]","[3.890335, 3.8903, 3.890179, 3.890143, 3.890137]","[43.606409, 43.606359, 43.606193, 43.606193, 43.606127]","[6.23, 20.81, 2.94, 7.28]"
927,Rue Cavelier de la Salle,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView927.html""; ""927"")",31.4,24423495,"[265388572, 287596146]","[3.88887, 3.88926]","[43.606505, 43.606487]",[31.4]
928,Rue Cavelier de la Salle,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView928.html""; ""928"")",24.33,24423495,"[287596146, 287596147]","[3.88926, 3.889561]","[43.606487, 43.606466]",[24.33]
929,Rue Cavelier de la Salle,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView929.html""; ""929"")",39.12,24423495,"[287596147, 1111316546, 282901838, 265388574]","[3.889561, 3.889967, 3.890019, 3.8900449999999998]","[43.606466, 43.606438, 43.606434, 43.606432]","[32.84, 4.22, 2.06]"
930,Allee des Cyclades,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView930.html""; ""930"")",64.33,24423507,"[265389438, 295101830, 265389439]","[3.891312, 3.891349, 3.891389]","[43.606344, 43.606629, 43.60692]","[31.84, 32.49]"
931,Allee de l'Aulide,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView931.html""; ""931"")",65.72,24423513,"[265389898, 267859189, 265389901]","[3.893099, 3.893132, 3.893169]","[43.60622, 43.606507, 43.606809]","[31.95, 33.77]"
932,Rue des Pensees,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView932.html""; ""932"")",77.31,24423519,"[265391465, 2575586493L, 2575586463L, 265391466]","[3.895352, 3.894535, 3.894498, 3.894444]","[43.605521, 43.605316, 43.605307, 43.605293]","[69.6, 3.17, 4.54]"
935,None-pedestrian,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView935.html""; ""935"")",27.9,24423576,"[246772681, 3802871031L, 3802871034L, 3672118467L, 265396612]","[3.894509, 3.894456, 3.894234, 3.8942129999999997, 3.894164]","[43.607726, 43.607729, 43.607744, 43.607746, 43.607749]","[4.24, 17.98, 1.72, 3.96]"
938,Allee de l'Attique,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView938.html""; ""938"")",43.03,24423701,"[266121514, 282896181, 295109258, 265405287, 283239065]","[3.88859, 3.888665, 3.888726, 3.888788, 3.889093]","[43.607835, 43.607824, 43.607801, 43.607762, 43.60774]","[6.16, 5.57, 6.63, 24.67]"
