ID,Street name,lien,longueur (m),osm_wid,osm_nidx,lon,lat,len
36,Allee des Boules,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView36.html""; ""36"")",33.14,51566607,"[798286852, 659495410, 1877551980, 798799906]","[-3.3835, -3.383695, -3.383731, -3.383783]","[48.730762, 48.730925, 48.730953, 48.730995]","[23.02, 4.14, 5.98]"
37,Residence Le Carpont,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView37.html""; ""37"")",66.94,51566612,"[627294837, 4139308784L, 659495453, 659495377]","[-3.386087, -3.386014, -3.385751, -3.385358]","[48.731461, 48.731506, 48.731669, 48.731816]","[7.36, 26.44, 33.14]"
38,Residence Le Carpont,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView38.html""; ""38"")",54.87,51566612,"[659495377, 659495387]","[-3.385358, -3.384657]","[48.731816, 48.73199]",[54.87]
39,Route de Saint-Marc,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView39.html""; ""39"")",36.47,326762662,"[410857176, 410857177, 410857178, 4033574297L]","[-3.385914, -3.386063, -3.386271, -3.386407]","[48.729199, 48.729202, 48.72918, 48.729193]","[10.98, 15.44, 10.05]"
40,Route de Saint-Marc,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView40.html""; ""40"")",105.08,326762662,"[4033574297L, 410857179, 410857180, 410857181]","[-3.386407, -3.386939, -3.387253, -3.3877639999999998]","[48.729193, 48.729241, 48.729199, 48.729023]","[39.4, 23.44, 42.24]"
41,Route de Saint-Marc,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView41.html""; ""41"")",153.8,326762662,"[410857181, 410857182, 410857183, 410857184, 410857185]","[-3.3877639999999998, -3.38813, -3.388474, -3.389152, -3.389747]","[48.729023, 48.72887, 48.728782, 48.72869, 48.728623]","[31.82, 26.98, 50.75, 44.25]"
42,Route de Saint-Marc,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView42.html""; ""42"")",62.75,326762662,"[410857185, 1877565989]","[-3.389747, -3.390593]","[48.728623, 48.728538]",[62.75]
43,Route de Saint-Marc,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView43.html""; ""43"")",117.17,326762662,"[1877565989, 410857186]","[-3.390593, -3.392174]","[48.728538, 48.728381]",[117.17]
44,Route de Saint-Marc,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView44.html""; ""44"")",103.92,326762662,"[410857186, 410857790, 3421047268L, 410857791]","[-3.392174, -3.392877, -3.393262, -3.393589]","[48.728381, 48.728346, 48.728353, 48.728359]","[51.68, 28.24, 24.0]"
45,Route de Saint-Marc,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView45.html""; ""45"")",214.53,326762662,"[410857791, 410857792, 410857793, 410857794, 410857795]","[-3.393589, -3.39413, -3.395263, -3.395975, -3.396499]","[48.728359, 48.728347, 48.728257, 48.728257, 48.728319]","[39.66, 83.65, 52.22, 39.0]"
46,Route de Saint-Marc,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView46.html""; ""46"")",138.9,326762662,"[410857795, 410857796, 410857797, 410857798]","[-3.396499, -3.396911, -3.397409, -3.398099]","[48.728319, 48.728426999999996, 48.728608, 48.728972]","[32.48, 41.68, 64.74]"
47,Route de Saint-Marc,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView47.html""; ""47"")",1167.39,326762662,"[410857798, 410857799, 410857800, 410857809, 410857801, 410857802, 410857803, 410857804, 410857805, 410857806, 410857807, 410857808, 561072479, 561072481, 410857900, 634212294, 410857901, 410857902, 410857903, 410857904, 410857905, 410857906, 410857907, 410857908]","[-3.398099, -3.398765, -3.399426, -3.400192, -3.401444, -3.402089, -3.402695, -3.403481, -3.404241, -3.404835, -3.4053649999999998, -3.405794, -3.405959, -3.406014, -3.406189, -3.406656, -3.406756, -3.407254, -3.408275, -3.409605, -3.410901, -3.411391, -3.411983, -3.413073]","[48.728972, 48.729259, 48.729477, 48.729709, 48.729864, 48.730043, 48.730153, 48.730204, 48.730453, 48.730544, 48.730522, 48.730567, 48.730616, 48.730633, 48.730686, 48.730914, 48.730963, 48.73115, 48.731371, 48.731654, 48.731909, 48.731976, 48.732022, 48.732112]","[58.34, 54.2, 61.74, 93.38, 51.26, 46.14, 57.86, 62.23, 44.66, 38.98, 31.86, 13.24, 4.48, 14.09, 42.61, 9.1, 41.98, 78.78, 102.46, 99.13, 36.64, 43.7, 80.53]"
48,Route de Caouennec,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView48.html""; ""48"")",1483.26,60694786,"[322789410, 322789411, 322789412, 322789413, 322789414, 322789415, 322789416, 322789417, 322789418, 322789419, 322789563, 322789564, 322789565, 322789566, 322789567, 322789568, 322789569, 322789570, 322789571, 322789572, 322789573, 322789574, 1511337655, 322789575, 322789576, 322789577, 322789578, 322789579, 322789580, 322789581, 322789582, 322789583, 322789584, 322789595, 322789596, 322789597, 322789598, 322789599, 322789600, 322789670, 630905765, 322789671]","[-3.374676, -3.374668, -3.374676, -3.374726, -3.374796, -3.374991, -3.375256, -3.375635, -3.376135, -3.376327, -3.376426, -3.37651, -3.37657, -3.376907, -3.377098, -3.377372, -3.377555, -3.377792, -3.378001, -3.37817, -3.378349, -3.378498, -3.379042, -3.379139, -3.379508, -3.379988, -3.380113, -3.380141, -3.379915, -3.379681, -3.379362, -3.379352, -3.379445, -3.379623, -3.380272, -3.380744, -3.381062, -3.381353, -3.381688, -3.382143, -3.382191, -3.382218]","[48.713991, 48.714408, 48.714807, 48.715104, 48.715371, 48.715501, 48.715529, 48.71558, 48.715655, 48.715896, 48.716133, 48.716403, 48.716611, 48.716732, 48.716841, 48.717031, 48.717076, 48.717096, 48.7171, 48.717254, 48.717445, 48.717571, 48.717873, 48.717927, 48.71821, 48.718764, 48.719005, 48.719142, 48.719183, 48.719199, 48.719214, 48.719332, 48.719533, 48.720058, 48.720956, 48.72171, 48.722502, 48.723091, 48.723691, 48.724416, 48.724553, 48.724716]","[46.35, 44.28, 33.28, 30.05, 20.34, 19.69, 28.35, 37.6, 30.3, 27.29, 30.64, 23.45, 28.17, 18.49, 29.15, 14.3, 17.57, 15.26, 21.14, 24.95, 17.79, 52.05, 9.34, 41.5, 70.87, 28.32, 15.43, 17.14, 17.29, 23.41, 13.08, 23.42, 59.73, 110.62, 90.56, 91.11, 68.85, 71.07, 87.16, 15.58, 18.29]"
49,Route de Caouennec,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView49.html""; ""49"")",355.8,60694786,"[322789671, 322789672, 322789673, 322789674, 322789675, 322789676, 322789677, 628650026]","[-3.382218, -3.382358, -3.382589, -3.382753, -3.383353, -3.38404, -3.384649, -3.38486]","[48.724716, 48.724829, 48.72496, 48.725096, 48.725865, 48.726692, 48.727202, 48.727377]","[16.23, 22.32, 19.26, 96.24, 104.74, 72.13, 24.88]"
50,Rue Francois Nicolas,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView50.html""; ""50"")",39.72,65325011,"[798286851, 306046921]","[-3.3847300000000002, -3.384291]","[48.730057, 48.729847]",[39.72]
51,Impasse de la Poste,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView51.html""; ""51"")",55.12,65411046,"[798799896, 798799897, 798799898, 798799899]","[-3.383053, -3.382928, -3.382797, -3.382538]","[48.731178, 48.73113, 48.731035, 48.730823]","[10.56, 14.28, 30.28]"
52,Impasse Le Glaz,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView52.html""; ""52"")",90.42,65411057,"[798799940, 798799941, 798799942, 798799914, 798799943]","[-3.367434, -3.367155, -3.367047, -3.366967, -3.3668519999999997]","[48.737733, 48.73763, 48.737527, 48.737393, 48.737068]","[23.4, 13.85, 16.06, 37.11]"
53,Rue Pierre Rogard,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView53.html""; ""53"")",119.38,65324979,"[798286852, 4086088455L, 4086088452L, 798286851]","[-3.3835, -3.384467, -3.384571, -3.3847300000000002]","[48.730762, 48.730207, 48.730148, 48.730057]","[93.91, 10.04, 15.43]"
54,Route de Buhulien,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView54.html""; ""54"")",114.4,51095589,"[3334274363L, 322789819, 322789820, 306046910]","[-3.385533, -3.385653, -3.385709, -3.385862]","[48.729047, 48.728928, 48.7288, 48.728054]","[15.9, 14.84, 83.66]"
55,Route de Buhulien,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView55.html""; ""55"")",37.48,51095589,"[306046910, 1209864853]","[-3.385862, -3.386201]","[48.728054, 48.727801]",[37.48]
56,Route de Buhulien,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView56.html""; ""56"")",147.82,51095589,"[1209864853, 1877584193, 306046909, 630905776]","[-3.386201, -3.38659, -3.387123, -3.387699]","[48.727801, 48.727513, 48.727209, 48.726917]","[42.89, 51.68, 53.25]"
57,Route de Buhulien,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView57.html""; ""57"")",64.4,51095589,"[630905776, 630905782]","[-3.387699, -3.388514]","[48.726917, 48.7267]",[64.4]
58,Route de Buhulien,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView58.html""; ""58"")",687.67,51095589,"[630905782, 1877584184, 306046916, 639164958, 1511627236, 1511627221, 1511627215, 306046914, 628650025, 306046913]","[-3.388514, -3.389271, -3.39052, -3.391723, -3.392979, -3.393481, -3.394027, -3.395279, -3.395505, -3.395871]","[48.7267, 48.726395, 48.72582, 48.725153, 48.72461, 48.724364, 48.724019, 48.723163, 48.723053, 48.722901]","[65.01, 111.7, 115.16, 110.08, 45.88, 55.34, 132.24, 20.54, 31.72]"
59,Convenant Dillec,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView59.html""; ""59"")",32.88,104925849,"[1209864853, 1209864859]","[-3.386201, -3.386497]","[48.727801, 48.728023]",[32.88]
60,Convenant Dillec,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView60.html""; ""60"")",31.89,104925849,"[1209864859, 1213920682]","[-3.386497, -3.386835]","[48.728023, 48.727842]",[31.89]
61,Convenant Dillec,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView61.html""; ""61"")",125.16,104925849,"[1213920682, 1209864860, 1209864851]","[-3.386835, -3.387646, -3.388046]","[48.727842, 48.727408, 48.727757]","[76.56, 48.6]"
62,Place du Centre,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView62.html""; ""62"")",75.77,76580819,"[410857094, 306046911, 3334274363L]","[-3.384627, -3.385213, -3.385533]","[48.729375, 48.72917, 48.729047]","[48.62, 27.15]"
63,Place du Centre,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView63.html""; ""63"")",32.54,76580819,"[3334274363L, 410857175, 410857176]","[-3.385533, -3.385693, -3.385914]","[48.729047, 48.729112, 48.729199]","[13.71, 18.83]"
64,Route de Lanmerin,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView64.html""; ""64"")",243.32,76580815,"[306046899, 638517297, 3399381929L, 306046920, 3399381930L, 3399381931L, 633569206, 306046919, 628975341]","[-3.374623, -3.375028, -3.375221, -3.375378, -3.375568, -3.375951, -3.376267, -3.376594, -3.377206]","[48.735858, 48.735642, 48.735456, 48.735247, 48.735071, 48.734901, 48.7348, 48.734752, 48.734656]","[38.14, 25.06, 25.98, 23.9, 33.89, 25.72, 24.51, 46.12]"
65,Route de Lanmerin,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView65.html""; ""65"")",94.73,76580815,"[628975341, 306046918, 306046917]","[-3.377206, -3.377456, -3.378267]","[48.734656, 48.734552, 48.73417]","[21.7, 73.03]"
66,Route de Lanmerin,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView66.html""; ""66"")",373.61,76580815,"[306046917, 306046924, 638517298, 306046923, 626964213]","[-3.378267, -3.379275, -3.379829, -3.380525, -3.381438]","[48.73417, 48.73305, 48.732738, 48.732344, 48.731578]","[144.7, 53.46, 67.2, 108.25]"
67,Route de Lanmerin,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView67.html""; ""67"")",37.99,76580815,"[626964213, 633493205]","[-3.381438, -3.3817500000000003]","[48.731578, 48.731305]",[37.99]
68,Route de Lanmerin,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView68.html""; ""68"")",35.81,76580815,"[633493205, 306046922]","[-3.3817500000000003, -3.382062]","[48.731305, 48.731057]",[35.81]
69,Route de Lanmerin,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView69.html""; ""69"")",43.5,76580815,"[306046922, 798799899]","[-3.382062, -3.382538]","[48.731057, 48.730823]",[43.5]
70,Route de Lanmerin,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView70.html""; ""70"")",56.95,76580815,"[798799899, 659495408]","[-3.382538, -3.383148]","[48.730823, 48.730506]",[56.95]
71,Route de Lanmerin,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView71.html""; ""71"")",111.33,76580815,"[659495408, 306046921]","[-3.383148, -3.384291]","[48.730506, 48.729847]",[111.33]
